,Predefined (Train),Optimized (Train),Predefined (Val),Optimized (Val),Predefined (Test),Optimized (Test)
accuracy,1.0,1.0,0.8872591314351452,0.9122807017543859,0.8769053781995974,0.901926948518838
precision,1.0,1.0,0.3047034764826176,0.3514285714285714,0.27755905511811024,0.3156498673740053
recall,1.0,1.0,0.7412935323383084,0.6119402985074627,0.698019801980198,0.5891089108910891
specificity,1.0,1.0,0.8962148962148963,0.9307081807081807,0.88793893129771,0.9212213740458015
f1_score,1.0,1.0,0.4318840579710145,0.44646098003629764,0.3971830985915493,0.4110535405872193
mcc,1.0,1.0,0.42796788463089486,0.42091131695049844,0.38807119988013694,0.3839557330406254
roc_auc,1.0,1.0,0.8851575456053068,0.8440740437009094,0.8636013906734185,0.8289388557176328
