Dataset,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Best Cost,Duration (s)
X_train_smote,0.6791016308182144,0.3291568020412974,5370962.753032083,12012065.959770901,60.493526458740234
X_train_tomek,0.7160102316891036,0.2906550267266915,2701002.334446475,5342093.568669282,35.50372123718262
X_train_smote_tomek,0.6783818024733018,0.32801875388182833,5321239.014963529,11736406.72122385,62.85336780548096
