n_clusters,n_sampling,sample_size_clara,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,inertia
8,3,1670,0.5695987211576627,0.5452427619333846,792034.9479554273,0.043317759536919215,0.06575891191336895,573665.8942526267
7,5,650,0.5498529398276841,0.6291094062596018,369297.0096134691,0.04342240978139935,0.06207391202336887,624341.4576320905
6,4,714,0.5723782626145463,0.5718396774754979,396917.71094990213,0.05160191573100778,0.06444326267657827,673440.4100093864
7,2,1583,0.5918464011213667,0.4895257148684616,707564.7505482039,0.05179024064748824,0.06588301537863189,629600.1042672356
10,2,1988,0.5166742320695692,0.6273728885830044,802410.0195029894,0.0387437370652664,0.065921105867874,501429.13006469817
7,6,511,0.5565416693930008,0.6047985797744497,371105.70757603465,0.042350325362028825,0.05850544252533192,627688.7974229949
2,5,1100,0.9709456359228461,0.029795264536562036,418448.58016338403,0.020680264463158227,0.03901349387869963,1942100.48035452
2,8,849,0.9709456359228461,0.029795264536562036,418448.58016338403,0.020680264463158227,0.03901349387869963,1942100.48035452
3,6,1074,0.6749097805583553,0.32251522213584494,528584.9447456605,0.024314663945230918,0.049283787603857356,1154659.0259590454
10,5,1790,0.5156542442537425,0.6327860886594237,804298.8215785867,0.03913825538575689,0.06695136034814705,501409.2276518297
2,8,2000,0.9709456359228461,0.029795264536562036,418448.58016338403,0.020680264463158227,0.03901349387869963,1941588.6544967103
2,2,500,0.9709456359228461,0.029795264536562036,418448.58016338403,0.020680264463158227,0.03901349387869963,1942100.48035452
2,2,2000,0.9709456359228461,0.029795264536562036,418448.58016338403,0.020680264463158227,0.03901349387869963,1941588.6544967103
2,8,500,0.9709456359228461,0.029795264536562036,418448.58016338403,0.020680264463158227,0.03901349387869963,1942100.48035452
5,2,1997,0.5562491007314696,0.5879269126878176,431956.884771747,0.05074821119076045,0.05690088790515494,765366.7914956562
2,2,1966,0.9709456359228461,0.029795264536562036,418448.58016338403,0.020680264463158227,0.03901349387869963,1941588.6544967103
2,7,2000,0.9709456359228461,0.029795264536562036,418448.58016338403,0.020680264463158227,0.03901349387869963,1941588.6544967103
2,2,548,0.9709456359228461,0.029795264536562036,418448.58016338403,0.020680264463158227,0.03901349387869963,1942100.48035452
2,3,1995,0.9709456359228461,0.029795264536562036,418448.58016338403,0.020680264463158227,0.03901349387869963,1941588.6544967103
2,8,1607,0.9709456359228461,0.029795264536562036,418448.58016338403,0.020680264463158227,0.03901349387869963,1941588.6544967103
2,8,515,0.9709456359228461,0.029795264536562036,418448.58016338403,0.020680264463158227,0.03901349387869963,1942100.48035452
2,6,500,0.9709456359228461,0.029795264536562036,418448.58016338403,0.020680264463158227,0.03901349387869963,1942100.48035452
6,8,1985,0.5727433384741465,0.5783075134049125,397114.7586833171,0.051590330292072925,0.06450982346853223,670180.1505595415
4,6,503,0.5386902029785179,0.672433534415336,471352.9171944403,0.06955086333865522,0.07287104444344834,900776.3812649813
9,6,500,0.5416948308835198,0.5849191405600362,748732.1924745818,0.04142062825656328,0.06661213418508477,547331.5591435493
3,2,510,0.6749097805583553,0.32251522213584494,528584.9447456605,0.024314663945230918,0.049283787603857356,1166948.1195691843
5,6,500,0.5555769741182786,0.5906780249487124,429986.0173827267,0.05272769832901857,0.05876908176141541,773697.9242949763
2,4,500,0.9709456359228461,0.029795264536562036,418448.58016338403,0.020680264463158227,0.03901349387869963,1942100.48035452
2,2,1257,0.9709456359228461,0.029795264536562036,418448.58016338403,0.020680264463158227,0.03901349387869963,1941588.6544967103
2,2,1250,0.9709456359228461,0.029795264536562036,418448.58016338403,0.020680264463158227,0.03901349387869963,1941588.6544967103
