,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Inertia,Adjusted Rand Index,Normalized Mutual Info,Fowlkes-Mallows Score,n_clusters,n_sampling,sample_size_clara
SMOTE,0.970964293983241,0.030008963970304513,4629781.22009984,19601927.651195657,0.014874012648308258,0.034500751605049944,0.6336348649420582,2.0,5.0,1100.0
Tomek,0.9693456893887988,0.031577204616323316,1358295.6652035706,11229966.430554286,0.10803360413553606,0.02281305170165817,0.8966904213448763,2.0,5.0,1100.0
SMOTE-Tomek,0.9709942610887717,0.029985619157616352,4600914.958537514,19373292.66610741,0.01517440563545342,0.035062780674905265,0.6334651455315402,2.0,5.0,1100.0
