n_clusters,n_sampling,sample_size_clara,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,inertia
8,3,1670,0.5588686114115736,0.6053981920872189,622131.7116091923,0.008014798994893303,0.01605726764664685,459856.575605024
7,5,650,0.5589211640055316,0.5724486146726445,603731.9662960229,0.005083707769347795,0.014161939464340901,511034.13802442077
6,4,714,0.605516895365634,0.5171474922038907,639898.6987895084,0.009402751757655705,0.015360372965861223,559365.9202745031
7,2,1583,0.5526884300155065,0.5718012909391085,606292.682637535,0.004804302343745405,0.013661477037435865,506944.44361165026
10,2,1988,0.46547695118711113,0.7141989865499059,565469.8455621452,0.002406506933499207,0.014055097753043,398864.8319461458
7,6,511,0.5989353738471492,0.5550575307559266,628483.2077062977,0.01317643442947789,0.01746557190226848,510622.37136802427
2,5,1100,0.9698394492806776,0.03156656937343038,279422.9942856117,0.1378097764161661,0.034261694937613746,2088985.7733349928
2,8,849,0.9698394492806776,0.03156656937343038,279422.9942856117,0.1378097764161661,0.034261694937613746,2088985.7733349928
3,6,1074,0.726754527677114,0.2786847313812264,590180.4558634803,0.01892846798310373,0.01905696682060581,973929.429998819
10,5,1790,0.4663501984965455,0.7115696938382644,565921.3176939961,0.0024562730093713315,0.014143387751653073,399162.23664484354
2,2,2000,0.9698394492806776,0.03156656937343038,279422.9942856117,0.1378097764161661,0.034261694937613746,2087960.720070833
2,2,500,0.9698394492806776,0.03156656937343038,279422.9942856117,0.1378097764161661,0.034261694937613746,2099596.0788608673
2,8,2000,0.9698394492806776,0.03156656937343038,279422.9942856117,0.1378097764161661,0.034261694937613746,2087960.720070833
2,8,500,0.9698394492806776,0.03156656937343038,279422.9942856117,0.1378097764161661,0.034261694937613746,2089046.5769423137
7,7,571,0.5984333169175833,0.5555138611772293,628073.7067887848,0.012657125799793298,0.017749866202061603,512538.1577211397
3,3,1171,0.726754527677114,0.2786847313812264,590180.4558634803,0.01892846798310373,0.01905696682060581,973929.429998819
9,6,985,0.492729702096806,0.684698589192021,597979.9494576867,0.004601633576290925,0.015020473726338503,426202.2747147084
2,2,1981,0.9698394492806776,0.03156656937343038,279422.9942856117,0.1378097764161661,0.034261694937613746,2087960.720070833
2,2,501,0.9698394492806776,0.03156656937343038,279422.9942856117,0.1378097764161661,0.034261694937613746,2099596.0788608673
2,3,1642,0.9698394492806776,0.03156656937343038,279422.9942856117,0.1378097764161661,0.034261694937613746,2088552.261831767
2,7,1995,0.9698394492806776,0.03156656937343038,279422.9942856117,0.1378097764161661,0.034261694937613746,2087960.720070833
2,8,509,0.9698394492806776,0.03156656937343038,279422.9942856117,0.1378097764161661,0.034261694937613746,2089046.5769423137
5,8,517,0.6171183594912331,0.469305260037408,575287.0781910726,0.014475228133376724,0.015377707791072039,630259.8453524783
2,6,500,0.9698394492806776,0.03156656937343038,279422.9942856117,0.1378097764161661,0.034261694937613746,2089046.5769423137
2,4,500,0.9698394492806776,0.03156656937343038,279422.9942856117,0.1378097764161661,0.034261694937613746,2089046.5769423137
2,8,1413,0.9698394492806776,0.03156656937343038,279422.9942856117,0.1378097764161661,0.034261694937613746,2087960.720070833
5,2,1994,0.6231290229622841,0.4690795746839875,578565.8634960437,0.014608037812345931,0.01546822091207761,626924.914481902
2,6,2000,0.9698394492806776,0.03156656937343038,279422.9942856117,0.1378097764161661,0.034261694937613746,2087960.720070833
2,4,2000,0.9698394492806776,0.03156656937343038,279422.9942856117,0.1378097764161661,0.034261694937613746,2087960.720070833
3,8,1993,0.726754527677114,0.2786847313812264,590180.4558634803,0.01892846798310373,0.01905696682060581,972843.5731273387
