n_clusters,n_sampling,sample_size_clara,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,inertia
8,3,1670,0.566711624385241,0.5503932100791774,778336.2009592752,0.03224457837989788,0.04979832615020859,586073.5838332037
7,5,650,0.573993562405926,0.5131435601927483,669094.8353374379,0.039004654157715,0.050163191376696614,645838.9876391385
6,4,714,0.5572478949317271,0.6114081444224718,313313.4645929487,0.035026983758305104,0.04442970511867873,706056.0440693125
7,2,1583,0.5824430041665424,0.48376228672597027,676193.2643779307,0.03581523022367748,0.04702838423994243,641064.9737514496
10,2,1988,0.529997927012195,0.6155334401379953,805260.539920942,0.0334971969374426,0.05771580208800168,504839.9461076051
7,6,511,0.5811532977715096,0.5052774393669001,665185.351845753,0.03321458949998818,0.044124678447501384,652087.4311365958
2,5,1100,0.9707011228323911,0.030051972331768855,403699.41421095893,0.02018384646825471,0.037697910600074436,1935169.2163123519
2,8,849,0.9707011228323911,0.030051972331768855,403699.41421095893,0.02018384646825471,0.037697910600074436,1935062.3422638373
3,6,1074,0.6713288627263975,0.3309001565961192,466601.1113242068,0.021557947187632494,0.04479326856826778,1163638.00452918
10,5,1790,0.5305896475198361,0.6168035217770013,803491.7476597204,0.032170983291085135,0.056652151412904785,505431.88589065446
2,2,2000,0.9707011228323911,0.030051972331768855,403699.41421095893,0.02018384646825471,0.037697910600074436,1935169.2163123519
2,2,500,0.9707011228323911,0.030051972331768855,403699.41421095893,0.02018384646825471,0.037697910600074436,1936287.0178532365
2,8,2000,0.9707011228323911,0.030051972331768855,403699.41421095893,0.02018384646825471,0.037697910600074436,1935062.3422638373
2,8,500,0.9707011228323911,0.030051972331768855,403699.41421095893,0.02018384646825471,0.037697910600074436,1935062.3422638373
5,2,1938,0.5471313851938523,0.6292621695802472,352297.772166317,0.03464260297414495,0.041617853626598804,787013.1063601403
2,2,1966,0.9707011228323911,0.030051972331768855,403699.41421095893,0.02018384646825471,0.037697910600074436,1935169.2163123519
2,2,526,0.9707011228323911,0.030051972331768855,403699.41421095893,0.02018384646825471,0.037697910600074436,1936287.0178532365
2,8,1924,0.9707011228323911,0.030051972331768855,403699.41421095893,0.02018384646825471,0.037697910600074436,1935062.3422638373
9,8,1993,0.5543286224301104,0.5934849086078035,781397.4401051331,0.036334583319539974,0.06133550940990327,544440.9141602519
2,8,513,0.9707011228323911,0.030051972331768855,403699.41421095893,0.02018384646825471,0.037697910600074436,1935062.3422638373
2,2,1950,0.9707011228323911,0.030051972331768855,403699.41421095893,0.02018384646825471,0.037697910600074436,1935169.2163123519
2,8,1992,0.9707011228323911,0.030051972331768855,403699.41421095893,0.02018384646825471,0.037697910600074436,1935062.3422638373
2,7,2000,0.9707011228323911,0.030051972331768855,403699.41421095893,0.02018384646825471,0.037697910600074436,1935062.3422638373
5,8,1982,0.5471313851938523,0.6292621695802472,352297.7721663171,0.03464260297414495,0.0416178536265988,786906.2323116253
2,3,1996,0.9707011228323911,0.030051972331768855,403699.41421095893,0.02018384646825471,0.037697910600074436,1935062.3422638373
4,2,508,0.5387885184602159,0.6594776019835158,404403.56198712933,0.04985396714651943,0.05585523856525917,909525.5607890126
2,8,1556,0.9707011228323911,0.030051972331768855,403699.41421095893,0.02018384646825471,0.037697910600074436,1935062.3422638373
2,4,500,0.9707011228323911,0.030051972331768855,403699.41421095893,0.02018384646825471,0.037697910600074436,1935200.2606676072
2,2,520,0.9707011228323911,0.030051972331768855,403699.41421095893,0.02018384646825471,0.037697910600074436,1936287.0178532365
2,6,500,0.9707011228323911,0.030051972331768855,403699.41421095893,0.02018384646825471,0.037697910600074436,1935062.3422638373
